[12:52:08] [ENTRY]: [WINUSER=Nathan]
[12:52:08] [SYSTEM_IO]: [GET] [UISCALE] [RETURN VALUE] 1.0
[12:52:08] [SYSTEM_IO]: [GET] [MMAC] [RETURN VALUE] 5c486915459709261d6d9af79dd1be29fea375fe59a8392f64369d2c6da0816e
[12:52:09] [SYSTEM_IO]: [GET] [MMAC] [RETURN VALUE] 5c486915459709261d6d9af79dd1be29fea375fe59a8392f64369d2c6da0816e
[12:52:09] [SYSTEM_IO]: [GET] [MMAC] [RETURN VALUE] 5c486915459709261d6d9af79dd1be29fea375fe59a8392f64369d2c6da0816e
[12:52:09] [LOGIN]: [AUTOCYPHERED]
[12:52:09] [SYSTEM_IO]: [GET] [Version] [RETURN VALUE] Soultree
[12:52:09] [SYSTEM_IO]: [GET] [Date] [RETURN VALUE] 7.2.21
[12:52:18] [ACTION]: BUTTON, TEXT = No File Chosen CLICKED
[12:52:20] [ACTION]: BUTTON, TEXT = No File Chosen CLICKED
[12:52:21] [ACTION]: BUTTON, TEXT = No File Chosen CLICKED
[12:52:21] [ACTION]: BUTTON, TEXT = No File Chosen CLICKED
[12:52:21] [ACTION]: BUTTON, TEXT = No File Chosen CLICKED
[12:52:22] [ACTION]: BUTTON, TEXT = No File Chosen CLICKED
[12:52:22] [ACTION]: BUTTON, TEXT = No File Chosen CLICKED
[12:52:22] [ACTION]: BUTTON, TEXT = No File Chosen CLICKED
[12:52:22] [ACTION]: BUTTON, TEXT = No File Chosen CLICKED
[12:52:22] [ACTION]: BUTTON, TEXT = No File Chosen CLICKED
[12:52:22] [ACTION]: BUTTON, TEXT = No File Chosen CLICKED
[12:52:22] [ACTION]: BUTTON, TEXT = No File Chosen CLICKED
[12:52:22] [ACTION]: BUTTON, TEXT = No File Chosen CLICKED
[12:52:22] [ACTION]: BUTTON, TEXT = No File Chosen CLICKED
[12:52:23] [ACTION]: BUTTON, TEXT = No File Chosen CLICKED
