[21:30:04] [ENTRY]: [WINUSER=Nathan]
[21:30:04] [SYSTEM_IO]: [GET] [UISCALE] [RETURN VALUE] 1.0
[21:30:04] [SYSTEM_IO]: [GET] [MMAC] [RETURN VALUE] 5c486915459709261d6d9af79dd1be29fea375fe59a8392f64369d2c6da0816e
[21:30:04] [JAVA ARGS]: [LOCATION] [400 S. Monroe St. Tallahassee, FL] //Ron DeSantis is a GOAT
[21:30:04] [SYSTEM_IO]: [GET] [MMAC] [RETURN VALUE] 5c486915459709261d6d9af79dd1be29fea375fe59a8392f64369d2c6da0816e
[21:30:04] [SYSTEM_IO]: [GET] [MMAC] [RETURN VALUE] 5c486915459709261d6d9af79dd1be29fea375fe59a8392f64369d2c6da0816e
[21:30:04] [SYSTEM_IO]: [GET] [AutoCypher] [RETURN VALUE] 1
[21:30:04] [LOGIN]: [AUTOCYPHER ATTEMPT]
[21:30:04] [SYSTEM_IO]: [GET] [CypherHash] [RETURN VALUE] nathan,3789d9735ab15d29a3595ef3f70c377d2d7b4927c222a06d36f0abba335504a2
[21:30:05] [LOGIN]: [AUTOCYPHER PASS]
[21:30:05] [CLIENT_IO]: [GET] [Name] [RETURN VALUE] Nathan
[21:30:05] [CLIENT_IO]: [GET] [RandomBackground] [RETURN VALUE] 0
[21:30:05] [CLIENT_IO]: [GET] [FullScreen] [RETURN VALUE] 0
[21:30:05] [SYSTEM_IO]: [GET] [Version] [RETURN VALUE] Soultree
[21:30:05] [CLIENT_IO]: [GET] [Name] [RETURN VALUE] Nathan
[21:30:05] [SYSTEM_IO]: [GET] [ConsoleResizable] [RETURN VALUE] 1
[21:30:05] [CLIENT_IO]: [GET] [Foreground] [RETURN VALUE] F0F0F0
[21:30:05] [CLIENT_IO]: [GET] [Foreground] [RETURN VALUE] F0F0F0
[21:30:05] [CLIENT_IO]: [GET] [FullScreen] [RETURN VALUE] 0
[21:30:06] [CLIENT_IO]: [GET] [FullScreen] [RETURN VALUE] 0
[21:30:06] [CLIENT_IO]: [GET] [Foreground] [RETURN VALUE] F0F0F0
[21:30:06] [CLIENT_IO]: [GET] [Font] [RETURN VALUE] Agency FB
[21:30:06] [CLIENT_IO]: [GET] [OutputBorder] [RETURN VALUE] 0
[21:30:06] [CLIENT_IO]: [GET] [FullScreen] [RETURN VALUE] 0
[21:30:06] [CLIENT_IO]: [GET] [FullScreen] [RETURN VALUE] 0
