[21-21-14] [ENTRY]: [Nathan]
[21-21-15] [SYSTEM_IO]: System data pared in IOUtil's static block
[21-21-16] [LOGIN]: [AUTOCYPHER ATTEMPT]
[21-21-16] [JAVA ARGS]: [LOCATION] [La casa de Nathan]
[21-21-16] [LOGIN]: [AUTOCYPHER PASS, e5a50641-21d1-3654-b738-c0e4b2dc61b1]
[21-21-16] [SYSTEM_IO]: Userdata requested: Name
[21-21-17] [SYSTEM_IO]: Userdata requested: RandomBackground
[21-21-17] [SYSTEM_IO]: Userdata requested: FullScreen
[21-21-17] [SYSTEM_IO]: Userdata requested: Name
[21-21-17] [SYSTEM_IO]: Userdata requested: Foreground
[21-21-17] [SYSTEM_IO]: Userdata requested: Foreground
[21-21-17] [SYSTEM_IO]: Userdata requested: FullScreen
[21-21-17] [SYSTEM_IO]: Userdata requested: FullScreen
[21-21-17] [SYSTEM_IO]: Userdata requested: Foreground
[21-21-17] [SYSTEM_IO]: Userdata requested: Font
[21-21-17] [SYSTEM_IO]: Userdata requested: OutputBorder
[21-21-17] [SYSTEM_IO]: Userdata requested: FullScreen
[21-21-18] [SYSTEM_IO]: Userdata requested: InputBorder
[21-21-18] [SYSTEM_IO]: Userdata requested: Foreground
[21-21-18] [SYSTEM_IO]: Userdata requested: Foreground
[21-21-18] [SYSTEM_IO]: Userdata requested: Foreground
[21-21-18] [SYSTEM_IO]: Userdata requested: Font
[21-21-18] [SYSTEM_IO]: Userdata requested: OutputFill
[21-21-18] [SYSTEM_IO]: Userdata requested: InputFill
[21-21-18] [SYSTEM_IO]: Userdata requested: consolepinned
[21-21-18] [SYSTEM_IO]: Userdata requested: consolepinned
[21-21-18] [ACTION]: CyderFrame disposed with fastclose: true, CyderFrame: Name: Cyder Splash (title position: LEFT), (980,378,600x600)
[21-21-18] [ACTION]: Console loaded in 3549ms
[21-21-18] [SYSTEM_IO]: Userdata requested: windowlocx
[21-21-18] [SYSTEM_IO]: Userdata requested: windowlocy
[21-21-18] [SYSTEM_IO]: Userdata requested: DebugWindows
[21-21-18] [ENTRY]: [TESTING MODE]
[21-21-18] [SYSTEM_IO]: Userdata requested: laststart
[21-21-18] [SYSTEM_IO]: Userdata requested: IntroMusic
[21-21-19] [CLIENT]: temp
[21-21-19] [ACTION]: TEMPERATURE CONVERTER
[21-21-20] [CONSOLE_OUT]: [STRING] Console loaded in 3549ms
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 371,163
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 369,162
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 368,160
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 366,160
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 365,159
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 363,159
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 361,157
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 360,155
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 358,154
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 357,152
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 355,151
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 353,151
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 352,149
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 350,149
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 349,147
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 347,146
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 345,146
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 344,144
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 342,144
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 341,143
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 339,143
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 339,141
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 337,139
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 336,139
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 334,138
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 333,136
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 331,135
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 329,135
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 328,133
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 326,133
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 325,132
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 325,130
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 323,130
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 322,128
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 320,127
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 318,125
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 317,125
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 315,124
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 314,122
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 312,122
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 312,120
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 310,120
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 310,119
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 309,119
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 307,119
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 307,117
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 306,117
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 306,116
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 304,116
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 304,114
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 302,112
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 301,112
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 299,111
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 298,109
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 296,108
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 294,106
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 293,106
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 291,104
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 291,103
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 290,103
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 290,101
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 288,100
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 286,100
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 286,98
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 285,98
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 285,96
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 283,96
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 283,95
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 282,95
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 282,93
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 280,93
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 281,93
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 282,93
[21-21-24] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 284,93
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 285,93
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 287,93
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 289,93
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 289,94
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 290,94
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 290,95
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 292,95
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 292,97
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 293,97
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 293,99
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 293,100
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 295,100
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 295,102
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 297,103
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 297,105
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 298,107
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 298,108
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 300,110
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 300,111
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 301,113
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 301,115
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 303,116
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 303,118
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 305,119
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 306,121
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 306,123
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 308,123
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 308,124
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 308,126
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 309,127
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 309,129
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 311,131
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 311,132
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 313,132
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 313,134
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 313,135
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 314,135
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 314,137
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 316,137
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 316,138
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 317,138
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 317,140
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 319,142
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 321,143
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 321,145
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 322,145
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 322,146
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 324,146
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 324,148
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 325,148
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 325,150
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 327,150
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 327,151
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 328,151
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 328,153
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 330,153
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 330,154
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 332,154
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 333,156
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 335,156
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 336,158
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 338,158
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 340,158
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 341,159
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 343,159
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 344,161
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 346,161
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 348,161
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 349,161
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 351,161
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 352,161
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 354,161
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 356,161
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 357,161
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 359,161
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 360,161
[21-21-25] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 362,161
[21-21-26] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 364,161
[21-21-26] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 365,161
[21-21-26] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 367,161
[21-21-26] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 368,161
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 86,104
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 88,104
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 89,105
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 93,105
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 96,107
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 100,109
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 104,111
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 110,111
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 116,113
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 125,115
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 131,117
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 137,117
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 143,117
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 149,119
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 157,119
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 166,119
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 177,119
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 189,122
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 201,122
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 212,122
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 221,124
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 232,124
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 241,124
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 249,126
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 255,126
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 259,126
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 265,126
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 269,126
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 272,126
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 276,126
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 279,126
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 283,126
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 286,126
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 292,126
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 296,126
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 300,126
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 303,125
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 307,125
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 311,125
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 314,123
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 316,123
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 320,121
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 321,121
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 323,120
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 324,120
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 326,120
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 328,120
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 329,120
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 331,118
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 331,116
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 331,115
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 331,113
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 331,112
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 331,110
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 331,109
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 331,107
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 330,105
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 330,104
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 329,102
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 329,101
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 327,99
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 325,97
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 324,96
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 322,94
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 321,94
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 319,94
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 317,95
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 317,96
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 316,96
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 314,98
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 313,98
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 311,98
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 309,98
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 308,98
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 308,100
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 306,100
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 305,100
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 305,101
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 303,101
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 301,101
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 301,103
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 300,103
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 298,103
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 297,103
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 295,103
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 293,103
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 292,103
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 290,103
[21-21-28] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 289,103
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 287,103
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 287,104
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 286,104
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 282,104
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 281,104
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 277,106
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 271,106
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 262,108
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 254,108
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 246,108
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 237,108
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 229,108
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 218,108
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 206,108
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 195,108
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 179,107
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 163,104
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 147,99
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 131,96
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 119,94
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 111,91
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 98,86
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 89,84
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 83,82
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 74,78
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 68,78
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 62,76
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 58,74
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 55,74
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 51,74
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 48,74
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 46,74
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 44,74
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 43,74
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 41,74
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 40,74
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 38,74
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 36,74
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 35,74
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 33,74
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 32,74
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 34,74
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 35,76
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 37,76
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 37,77
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 39,77
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 40,79
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 42,79
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 43,81
[21-21-29] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 45,81
