[21-42-49] [ENTRY]: [Nathan]
[21-42-49] [SYSTEM_IO]: System data pared in IOUtil's static block
[21-42-50] [LOGIN]: [AUTOCYPHER ATTEMPT]
[21-42-50] [JAVA ARGS]: [LOCATION] [La casa de Nathan]
[21-42-51] [LOGIN]: [AUTOCYPHER PASS, e5a50641-21d1-3654-b738-c0e4b2dc61b1]
[21-42-51] [SYSTEM_IO]: Userdata requested: Name
[21-42-51] [SYSTEM_IO]: Userdata requested: RandomBackground
[21-42-51] [SYSTEM_IO]: Userdata requested: FullScreen
[21-42-52] [SYSTEM_IO]: Userdata requested: Name
[21-42-52] [SYSTEM_IO]: Userdata requested: Foreground
[21-42-52] [SYSTEM_IO]: Userdata requested: Foreground
[21-42-52] [SYSTEM_IO]: Userdata requested: FullScreen
[21-42-52] [SYSTEM_IO]: Userdata requested: FullScreen
[21-42-52] [SYSTEM_IO]: Userdata requested: Foreground
[21-42-52] [SYSTEM_IO]: Userdata requested: Font
[21-42-52] [SYSTEM_IO]: Userdata requested: OutputBorder
[21-42-52] [SYSTEM_IO]: Userdata requested: FullScreen
[21-42-52] [SYSTEM_IO]: Userdata requested: InputBorder
[21-42-52] [SYSTEM_IO]: Userdata requested: Foreground
[21-42-52] [SYSTEM_IO]: Userdata requested: Foreground
[21-42-52] [SYSTEM_IO]: Userdata requested: Foreground
[21-42-52] [SYSTEM_IO]: Userdata requested: Font
[21-42-52] [SYSTEM_IO]: Userdata requested: OutputFill
[21-42-52] [SYSTEM_IO]: Userdata requested: InputFill
[21-42-52] [SYSTEM_IO]: Userdata requested: consolepinned
[21-42-52] [SYSTEM_IO]: Userdata requested: consolepinned
[21-42-52] [ACTION]: CyderFrame disposed with fastclose: true, CyderFrame: Component name = [cyder.ui.CyderFrame], bounds = [(980, 378, 600, 600)], hash = [1164869736], parentFrame = [No associated frame], associated text = [No getText() method found]
[21-42-52] [ACTION]: Console loaded in 3701ms
[21-42-52] [SYSTEM_IO]: Userdata requested: windowlocx
[21-42-52] [SYSTEM_IO]: Userdata requested: windowlocy
[21-42-52] [SYSTEM_IO]: Userdata requested: DebugWindows
[21-42-52] [ENTRY]: [TESTING MODE]
[21-42-52] [SYSTEM_IO]: Userdata requested: laststart
[21-42-52] [SYSTEM_IO]: Userdata requested: IntroMusic
[21-42-54] [CLIENT]: conway
[21-42-55] [ACTION]: CONWAYS
[21-42-55] [CONSOLE_OUT]: [STRING] Console loaded in 3701ms
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 885,1001
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 881,997
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 877,991
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 873,987
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 866,981
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 860,976
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 854,972
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 845,968
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 836,963
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 826,959
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 817,954
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 811,950
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 805,948
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 799,946
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 792,944
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 789,942
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 785,940
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 783,940
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 782,938
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 780,937
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 778,937
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 777,935
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 775,933
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 774,932
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 772,932
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 770,930
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 769,930
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 767,929
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 766,927
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 764,927
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 764,925
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 762,924
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 762,922
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 762,921
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 761,919
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 761,918
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 759,916
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 759,914
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 758,914
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 756,913
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 756,911
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 755,911
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 755,910
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 755,908
[21-42-59] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 755,906
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 755,905
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 757,905
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 758,903
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 758,902
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 762,900
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 766,896
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 772,892
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 781,887
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 790,883
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 803,877
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 819,872
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 835,867
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 851,864
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 866,864
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 874,864
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 883,864
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 889,865
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 893,865
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 896,867
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 898,867
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 898,869
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 900,870
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 900,872
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 901,873
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 901,877
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 903,883
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 903,891
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 903,900
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 903,911
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 903,919
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 902,928
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 902,939
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 902,945
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 900,954
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 898,960
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 896,966
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 896,972
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 894,978
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 894,984
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 894,990
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 894,996
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 892,1003
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 890,1004
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 890,1009
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 890,1013
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 890,1017
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 890,1018
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 890,1022
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 890,1025
