[18-56-09] [ENTRY]: [Nathan]
[18-56-09] [SYSTEM_IO]: System data pared in IOUtil's static block
[18-56-11] [LOGIN]: [AUTOCYPHER ATTEMPT]
[18-56-11] [JAVA ARGS]: [LOCATION] [La casa de Nathan]
[18-56-11] [LOGIN]: [AUTOCYPHER PASS, e5a50641-21d1-3654-b738-c0e4b2dc61b1]
[18-56-11] [SYSTEM_IO]: Userdata requested: Name
[18-56-12] [SYSTEM_IO]: Userdata requested: RandomBackground
[18-56-12] [SYSTEM_IO]: Userdata requested: FullScreen
[18-56-12] [SYSTEM_IO]: Userdata requested: Name
[18-56-12] [SYSTEM_IO]: Userdata requested: Foreground
[18-56-12] [SYSTEM_IO]: Userdata requested: Foreground
[18-56-12] [SYSTEM_IO]: Userdata requested: FullScreen
[18-56-12] [SYSTEM_IO]: Userdata requested: FullScreen
[18-56-12] [SYSTEM_IO]: Userdata requested: Foreground
[18-56-12] [SYSTEM_IO]: Userdata requested: Font
[18-56-12] [SYSTEM_IO]: Userdata requested: OutputBorder
[18-56-12] [SYSTEM_IO]: Userdata requested: FullScreen
[18-56-12] [SYSTEM_IO]: Userdata requested: InputBorder
[18-56-12] [SYSTEM_IO]: Userdata requested: Foreground
[18-56-12] [SYSTEM_IO]: Userdata requested: Foreground
[18-56-12] [SYSTEM_IO]: Userdata requested: Foreground
[18-56-12] [SYSTEM_IO]: Userdata requested: Font
[18-56-12] [SYSTEM_IO]: Userdata requested: OutputFill
[18-56-12] [SYSTEM_IO]: Userdata requested: InputFill
[18-56-12] [SYSTEM_IO]: Userdata requested: consolepinned
[18-56-12] [SYSTEM_IO]: Userdata requested: consolepinned
[18-56-12] [ACTION]: CyderFrame disposed with fastclose: true, CyderFrame: Component name = [cyder.ui.CyderFrame], bounds = [(980, 378, 600, 600)], hash = [761908092], parentFrame = [Object itself is the top level frame], associated text = [No getText() method found], tooltip text = [No getTooltipText() method found], title = [Cyder Splash]
[18-56-13] [ACTION]: Console loaded in 3760ms
[18-56-13] [SYSTEM_IO]: Userdata requested: windowlocx
[18-56-13] [SYSTEM_IO]: Userdata requested: windowlocy
[18-56-13] [SYSTEM_IO]: Userdata requested: DebugWindows
[18-56-13] [ENTRY]: [TESTING MODE]
[18-56-13] [SYSTEM_IO]: Userdata requested: laststart
[18-56-13] [SYSTEM_IO]: Userdata requested: IntroMusic
[18-56-13] [ACTION]: [Stellar Cyder [Nathan]] [NOTIFICATION] Console loaded in 3760ms
[18-56-13] [SYSTEM_IO]: Userdata requested: persistentnotifications
[18-56-18] [CLIENT]: showseconds
[18-56-18] [CONSOLE_OUT]: [STRING] Show Seconds set to true
[18-56-18] [SYSTEM_IO]: Userdata requested: OutputBorder
[18-56-18] [SYSTEM_IO]: Userdata requested: InputBorder
[18-56-18] [SYSTEM_IO]: Userdata requested: FullScreen
[18-56-18] [SYSTEM_IO]: Userdata requested: FullScreen
[18-56-18] [SYSTEM_IO]: Userdata requested: ClockOnConsole
[18-56-18] [SYSTEM_IO]: Userdata requested: OutputFill
[18-56-18] [SYSTEM_IO]: Userdata requested: InputFill
[18-56-18] [ACTION]: CONSOLE PREFERENCE TOGGLE HANDLED
[18-56-20] [CLIENT]: prefs
[18-56-20] [ACTION]: USER EDITOR
[18-56-22] [SYSTEM_IO]: Userdata requested: Foreground
[18-56-22] [SYSTEM_IO]: Userdata requested: Foreground
[18-56-22] [SYSTEM_IO]: Userdata requested: Background
[18-56-22] [SYSTEM_IO]: Userdata requested: Background
[18-56-22] [SYSTEM_IO]: Userdata requested: Font
[18-56-22] [ACTION]: Component name = [cyder.ui.CyderButton], bounds = [(830, 175, 50, 250)], hash = [708655865], parentFrame = [Edit User], associated text = [>], tooltip text = [No getTooltipText() method found], title = [No getTitle() method found]
[18-56-22] [ACTION]: [Edit User] [NOTIFICATION] Loading fonts...
[18-56-23] [SYSTEM_IO]: Userdata requested: persistentnotifications
[18-56-24] [ACTION]: [Edit User] [NOTIFICATION] Fonts loaded
[18-56-25] [SYSTEM_IO]: Userdata requested: persistentnotifications
[18-56-25] [ACTION]: Component name = [cyder.ui.CyderButton], bounds = [(830, 175, 50, 250)], hash = [708655865], parentFrame = [Edit User], associated text = [>], tooltip text = [No getTooltipText() method found], title = [No getTitle() method found]
[18-56-25] [SYSTEM_IO]: Userdata requested: randombackground
[18-56-26] [SYSTEM_IO]: Userdata requested: debugwindows
[18-56-26] [SYSTEM_IO]: Userdata requested: intromusic
[18-56-26] [SYSTEM_IO]: Userdata requested: randombackground
[18-56-26] [SYSTEM_IO]: Userdata requested: debugwindows
[18-56-26] [SYSTEM_IO]: Userdata requested: intromusic
[18-56-27] [SYSTEM_IO]: Userdata requested: debugwindows
[18-56-27] [SYSTEM_IO]: Userdata requested: intromusic
[18-56-27] [SYSTEM_IO]: Userdata requested: debugwindows
[18-56-27] [SYSTEM_IO]: Userdata requested: intromusic
[18-56-27] [SYSTEM_IO]: Userdata requested: debugwindows
[18-56-27] [SYSTEM_IO]: Userdata requested: intromusic
[18-56-27] [SYSTEM_IO]: Userdata requested: debugwindows
[18-56-27] [SYSTEM_IO]: Userdata requested: intromusic
[18-56-27] [SYSTEM_IO]: Userdata requested: debugwindows
[18-56-27] [SYSTEM_IO]: Userdata requested: intromusic
[18-56-27] [SYSTEM_IO]: Userdata requested: debugwindows
[18-56-27] [SYSTEM_IO]: Userdata requested: intromusic
[18-56-27] [SYSTEM_IO]: Userdata requested: debugwindows
[18-56-27] [SYSTEM_IO]: Userdata requested: intromusic
[18-56-27] [SYSTEM_IO]: Userdata requested: debugwindows
[18-56-27] [SYSTEM_IO]: Userdata requested: intromusic
[18-56-27] [SYSTEM_IO]: Userdata requested: debugwindows
[18-56-27] [SYSTEM_IO]: Userdata requested: intromusic
[18-56-27] [SYSTEM_IO]: Userdata requested: debugwindows
[18-56-27] [SYSTEM_IO]: Userdata requested: intromusic
[18-56-27] [SYSTEM_IO]: Userdata requested: debugwindows
[18-56-27] [SYSTEM_IO]: Userdata requested: intromusic
[18-56-27] [SYSTEM_IO]: Userdata requested: debugwindows
[18-56-27] [SYSTEM_IO]: Userdata requested: intromusic
[18-56-27] [SYSTEM_IO]: Userdata requested: debugwindows
[18-56-27] [SYSTEM_IO]: Userdata requested: intromusic
[18-56-27] [SYSTEM_IO]: Userdata requested: debugwindows
[18-56-27] [SYSTEM_IO]: Userdata requested: intromusic
[18-56-27] [SYSTEM_IO]: Userdata requested: debugwindows
[18-56-27] [SYSTEM_IO]: Userdata requested: intromusic
[18-56-27] [SYSTEM_IO]: Userdata requested: debugwindows
[18-56-27] [SYSTEM_IO]: Userdata requested: intromusic
[18-56-27] [SYSTEM_IO]: Userdata requested: debugwindows
[18-56-27] [SYSTEM_IO]: Userdata requested: intromusic
[18-56-27] [SYSTEM_IO]: Userdata requested: debugwindows
[18-56-27] [SYSTEM_IO]: Userdata requested: intromusic
[18-56-27] [SYSTEM_IO]: Userdata requested: debugwindows
[18-56-27] [SYSTEM_IO]: Userdata requested: intromusic
[18-56-27] [SYSTEM_IO]: Userdata requested: debugwindows
[18-56-27] [SYSTEM_IO]: Userdata requested: intromusic
[18-56-27] [SYSTEM_IO]: Userdata requested: intromusic
[18-56-27] [SYSTEM_IO]: Userdata requested: OutputBorder
[18-56-27] [SYSTEM_IO]: Userdata requested: InputBorder
[18-56-27] [SYSTEM_IO]: Userdata requested: FullScreen
[18-56-27] [SYSTEM_IO]: Userdata requested: FullScreen
[18-56-27] [SYSTEM_IO]: Userdata requested: ClockOnConsole
[18-56-27] [SYSTEM_IO]: Userdata requested: OutputFill
[18-56-27] [SYSTEM_IO]: Userdata requested: InputFill
[18-56-27] [SYSTEM_IO]: Userdata requested: randombackground
[18-56-27] [SYSTEM_IO]: Userdata requested: debugwindows
[18-56-27] [SYSTEM_IO]: Userdata requested: intromusic
[18-56-27] [SYSTEM_IO]: Userdata requested: intromusic
[18-56-28] [SYSTEM_IO]: Userdata requested: intromusic
[18-56-28] [SYSTEM_IO]: Userdata requested: OutputBorder
[18-56-28] [SYSTEM_IO]: Userdata requested: InputBorder
[18-56-28] [SYSTEM_IO]: Userdata requested: FullScreen
[18-56-28] [SYSTEM_IO]: Userdata requested: FullScreen
[18-56-28] [SYSTEM_IO]: Userdata requested: ClockOnConsole
[18-56-28] [SYSTEM_IO]: Userdata requested: OutputFill
[18-56-28] [SYSTEM_IO]: Userdata requested: InputFill
[18-56-28] [SYSTEM_IO]: Userdata requested: randombackground
[18-56-28] [SYSTEM_IO]: Userdata requested: debugwindows
