[13-37-17] [ENTRY]: [Nathan]
[13-37-17] [SYSTEM_IO]: System data pared in IOUtil's static block
[13-37-20] [LOGIN]: [AUTOCYPHER ATTEMPT]
[13-37-20] [JAVA ARGS]: [LOCATION] [La casa de Nathan]
[13-37-21] [LOGIN]: [AUTOCYPHER PASS, e5a50641-21d1-3654-b738-c0e4b2dc61b1]
[13-37-21] [SYSTEM_IO]: Userdata requested: Name
[13-37-21] [SYSTEM_IO]: Userdata requested: RandomBackground
[13-37-21] [SYSTEM_IO]: Userdata requested: FullScreen
[13-37-22] [SYSTEM_IO]: Userdata requested: Name
[13-37-22] [SYSTEM_IO]: Userdata requested: Foreground
[13-37-22] [SYSTEM_IO]: Userdata requested: Foreground
[13-37-22] [SYSTEM_IO]: Userdata requested: FullScreen
[13-37-22] [SYSTEM_IO]: Userdata requested: FullScreen
[13-37-22] [SYSTEM_IO]: Userdata requested: Foreground
[13-37-22] [SYSTEM_IO]: Userdata requested: Font
[13-37-23] [SYSTEM_IO]: Userdata requested: OutputBorder
[13-37-23] [SYSTEM_IO]: Userdata requested: FullScreen
[13-37-23] [SYSTEM_IO]: Userdata requested: InputBorder
[13-37-23] [SYSTEM_IO]: Userdata requested: Foreground
[13-37-23] [SYSTEM_IO]: Userdata requested: Foreground
[13-37-23] [SYSTEM_IO]: Userdata requested: Foreground
[13-37-23] [SYSTEM_IO]: Userdata requested: Font
[13-37-23] [SYSTEM_IO]: Userdata requested: OutputFill
[13-37-23] [SYSTEM_IO]: Userdata requested: InputFill
[13-37-23] [SYSTEM_IO]: Userdata requested: consolepinned
[13-37-23] [SYSTEM_IO]: Userdata requested: consolepinned
[13-37-23] [ACTION]: CyderFrame disposed with fastclose: true, CyderFrame: Component name = [cyder.ui.CyderFrame], bounds = [(980, 378, 600, 600)], hash = [1273648137], parentFrame = [Object itself is the top level frame], associated text = [No getText() method found], tooltip text = [No getTooltipText() method found], title = [Cyder Splash]
[13-37-23] [ACTION]: Console loaded in 6021ms
[13-37-23] [SYSTEM_IO]: Userdata requested: windowlocx
[13-37-23] [SYSTEM_IO]: Userdata requested: windowlocy
[13-37-23] [SYSTEM_IO]: Userdata requested: DebugWindows
[13-37-23] [ENTRY]: [TESTING MODE]
[13-37-23] [SYSTEM_IO]: Userdata requested: laststart
[13-37-23] [SYSTEM_IO]: Userdata requested: IntroMusic
[13-37-23] [ACTION]: [Stellar Cyder [Nathan]] [NOTIFICATION] Console loaded in 6021ms
[13-37-23] [SYSTEM_IO]: Userdata requested: persistentnotifications
[13-37-25] [CONSOLE_OUT]: [STRING] CyderStrings:     //instantiation of a static class message
[13-37-25] [CONSOLE_OUT]: [STRING] User:     //inner classes
[13-37-25] [CONSOLE_OUT]: [STRING] Cyder:      * @param CA possible command line args passed in. They serve no purpose yet
[13-37-25] [CONSOLE_OUT]: [STRING] CyderSetup:      * so you shouldn't do any reading or writing to files or anything with locks/semaphores
[13-37-25] [CONSOLE_OUT]: [STRING] CyderSetup:      * loading a frame if bypassing Cyder.java's main method.
[13-37-25] [CONSOLE_OUT]: [STRING] GenesisShare:         // some rare cases might require deeper manipulation such as the case for executables
[13-37-25] [CONSOLE_OUT]: [STRING] GenesisShare:             //sign out user if ConsoleFrame has a user associated with it
[13-37-25] [CONSOLE_OUT]: [STRING] GenesisShare:     //inner classes
[13-37-25] [CONSOLE_OUT]: [STRING] AudioPlayer: //todo this is just all around fucked,
[13-37-25] [CONSOLE_OUT]: [STRING] AudioPlayer:      *                     Pass {@code null} to avoid starting audio upon launch.
[13-37-25] [CONSOLE_OUT]: [STRING] AudioPlayer:      * Returns the associated JLayer player
[13-37-25] [CONSOLE_OUT]: [STRING] AudioPlayer:      * When starting pass the file that the user selected using the select audio directory button.
[13-37-25] [CONSOLE_OUT]: [STRING] AudioPlayer:      * On refresh, you may pass null and the program will infer where to look based on the current audioFile dir.
[13-37-25] [CONSOLE_OUT]: [STRING] AudioPlayer:      * Resumes audio at the current audio file at the passed in byte value.
[13-37-25] [CONSOLE_OUT]: [STRING] AudioPlayer:      * private inner class for the audio location slider
[13-37-26] [CONSOLE_OUT]: [STRING] AudioPlayer:      * private inner class for the scrolling song label
[13-37-26] [CONSOLE_OUT]: [STRING] ErrorHandler:      * This method takes an exception, prints it to a string, and then passes the
[13-37-26] [CONSOLE_OUT]: [STRING] ErrorHandler:      * @param e the exception to be displayed
[13-37-26] [CONSOLE_OUT]: [STRING] InputHandler:     // allowing for semaphore usage
[13-37-26] [CONSOLE_OUT]: [STRING] InputHandler:     //direct JTextPane manipulation methods -----------------------
[13-37-26] [CONSOLE_OUT]: [STRING] LoginHandler:             //holding shift allows the user to see their password
[13-37-26] [CONSOLE_OUT]: [STRING] LoginHandler:      * Attempts to log in a user based on the inputed name and already hashed password
[13-37-26] [CONSOLE_OUT]: [STRING] LoginHandler:      * @param hashedPass the password already having been hashed (we hash it again in checkPassword method)
[13-37-26] [CONSOLE_OUT]: [STRING] LoginHandler:      * @return whether or not the name and pass combo was authenticated and logged in
[13-37-26] [CONSOLE_OUT]: [STRING] LoginHandler:             //check password will set the console frame uuid if it finds a userdata.json that matches the provided name and hash
[13-37-26] [CONSOLE_OUT]: [STRING] SessionHandler:     //absolute start of Cyder, class loading
[13-37-26] [CONSOLE_OUT]: [STRING] SessionHandler:      * The main log method to log an action associated with a type tag.
[13-37-26] [CONSOLE_OUT]: [STRING] SessionHandler:                 //any exceptions thrown are passed from errorhandler to here
[13-37-26] [CONSOLE_OUT]: [STRING] SessionHandler:      * @return the log file associated with the current session
[13-37-26] [CONSOLE_OUT]: [STRING] CyderGridLayout:         // and then passed to the GridLayout
[13-37-26] [CONSOLE_OUT]: [STRING] CyderGridLayout:     //class so we know the original size of components for resize events
[13-37-26] [CONSOLE_OUT]: [STRING] CyderLayout:  * which also forces the class to implement this interface
[13-37-26] [CONSOLE_OUT]: [STRING] ClientBackend:      * @param messagingWidgetFrame the CyderFrame this Client should be associated with to be used for the confirmation window
[13-37-26] [CONSOLE_OUT]: [STRING] ClientBackend:                             //listen for their messages assumping their server still wants to connect
[13-37-26] [CONSOLE_OUT]: [STRING] ClientBackend:                         //instead of printing, append to frame's outputarea
[13-37-26] [CONSOLE_OUT]: [STRING] ClientView:     //this class is not static due to being able to DM multiple users at once in different frames
[13-37-26] [CONSOLE_OUT]: [STRING] CyderHeap:      * @param data the data to populate the first "data.length" slots wit
[13-37-26] [CONSOLE_OUT]: [STRING] CyderStack:     //node class to be used
[13-37-26] [CONSOLE_OUT]: [STRING] BletchyThread:      * Class instantiation requires a JTextPane so that we may use a StringUtil to append to the profvided JTextPane
[13-37-26] [CONSOLE_OUT]: [STRING] BletchyThread:      * @param outputArea the JTextPane belonging to a ConsoleFrame to print to
[13-37-26] [CONSOLE_OUT]: [STRING] MasterYoutubeThread:     //this class still exists in the event we want to allow multithreading once again with random youtube
[13-37-26] [CONSOLE_OUT]: [STRING] MasterYoutubeThread:     //should be associated with an input handler
[13-37-26] [CONSOLE_OUT]: [STRING] MasterYoutubeThread:     //should be in MasterYoutube class
[13-37-26] [CONSOLE_OUT]: [STRING] ConsoleFrame:         //instantiation only available from within this class
[13-37-26] [CONSOLE_OUT]: [STRING] ConsoleFrame:             //anonymous class
[13-37-26] [CONSOLE_OUT]: [STRING] ConsoleFrame:      * Sets the OutputArea and InputField font style for the current user
[13-37-26] [CONSOLE_OUT]: [STRING] ConsoleFrame:      *                  font style. You may pass combinations of font
[13-37-26] [CONSOLE_OUT]: [STRING] ConsoleFrame:         //anonymous inner class
[13-37-26] [CONSOLE_OUT]: [STRING] CyderCheckboxGroup:      * Finds how many buttons are associated with this button group
[13-37-26] [CONSOLE_OUT]: [STRING] CyderFrame:      * @param cyderPanel the CyderPanel with associated CyderLayout
[13-37-26] [CONSOLE_OUT]: [STRING] CyderFrame:      * @param viewDuration the time in ms the notification should be visible for. Pass in 0
[13-37-26] [CONSOLE_OUT]: [STRING] CyderFrame:      * @param viewDuration the time in ms the notification should be visible for. Pass in 0
[13-37-26] [CONSOLE_OUT]: [STRING] CyderFrame:      *        to be auto calculated based on word count, pass in -1 to persist indefinitely until the user clicks
[13-37-26] [CONSOLE_OUT]: [STRING] CyderFrame:      * @param container container to show on the notification instead of the typical text, pass null to ignore
[13-37-26] [CONSOLE_OUT]: [STRING] CyderFrame:      * @param viewDuration the time in ms the notification should be visible for. Pass in 0
[13-37-26] [CONSOLE_OUT]: [STRING] CyderFrame:      *        to be auto calculated based on word count, pass in -1 to persist indefinitely until the user clicks
[13-37-26] [CONSOLE_OUT]: [STRING] CyderFrame:      * @param container container to show on the notification instead of the typical text, pass null to ignore
[13-37-26] [CONSOLE_OUT]: [STRING] CyderFrame:      * @param notificationBackground the color to set the notification background to. Pass null for default
[13-37-26] [CONSOLE_OUT]: [STRING] CyderFrame:      * Removes all currently displayed notifications and wipes the notification queue.
[13-37-26] [CONSOLE_OUT]: [STRING] CyderFrame:      * Getter for the top drag label associated with this CyderFrame instance. Used for frame resizing.
[13-37-26] [CONSOLE_OUT]: [STRING] CyderFrame:      * @return The associated DragLabel
[13-37-26] [CONSOLE_OUT]: [STRING] CyderFrame:      * Getter for the bottom drag label associated with this CyderFrame instance. Used for frame resizing.
[13-37-26] [CONSOLE_OUT]: [STRING] CyderFrame:      * @return The associated DragLabel
[13-37-26] [CONSOLE_OUT]: [STRING] CyderFrame:      * Getter for the left drag label associated with this CyderFrame instance. Used for frame resizing.
[13-37-26] [CONSOLE_OUT]: [STRING] CyderFrame:      * @return The associated DragLabel
