[22-13-14] [ENTRY]: [Nathan]
[22-13-14] [SYSTEM_IO]: System data pared in IOUtil's static block
[22-13-15] [JAVA ARGS]: [LOCATION] [La casa de Nathan]
[22-13-15] [LOGIN]: [AUTOCYPHER ATTEMPT]
[22-13-16] [LOGIN]: [AUTOCYPHER PASS, e5a50641-21d1-3654-b738-c0e4b2dc61b1]
[22-13-16] [SYSTEM_IO]: Userdata requested: Name
[22-13-17] [SYSTEM_IO]: Userdata requested: RandomBackground
[22-13-17] [SYSTEM_IO]: Userdata requested: FullScreen
[22-13-17] [SYSTEM_IO]: Userdata requested: Name
[22-13-17] [SYSTEM_IO]: Userdata requested: Foreground
[22-13-17] [SYSTEM_IO]: Userdata requested: Foreground
[22-13-17] [SYSTEM_IO]: Userdata requested: FullScreen
[22-13-17] [SYSTEM_IO]: Userdata requested: FullScreen
[22-13-17] [SYSTEM_IO]: Userdata requested: Foreground
[22-13-17] [SYSTEM_IO]: Userdata requested: Font
[22-13-17] [SYSTEM_IO]: Userdata requested: OutputBorder
[22-13-17] [SYSTEM_IO]: Userdata requested: FullScreen
[22-13-17] [SYSTEM_IO]: Userdata requested: InputBorder
[22-13-17] [SYSTEM_IO]: Userdata requested: Foreground
[22-13-17] [SYSTEM_IO]: Userdata requested: Foreground
[22-13-17] [SYSTEM_IO]: Userdata requested: Foreground
[22-13-17] [SYSTEM_IO]: Userdata requested: Font
[22-13-17] [SYSTEM_IO]: Userdata requested: OutputFill
[22-13-17] [SYSTEM_IO]: Userdata requested: InputFill
[22-13-17] [SYSTEM_IO]: Userdata requested: consolepinned
[22-13-17] [SYSTEM_IO]: Userdata requested: consolepinned
[22-13-18] [ACTION]: CyderFrame disposed with fastclose: true, CyderFrame: Component name = [cyder.ui.CyderFrame], bounds = [(980, 378, 600, 600)], hash = [2035617160], parentFrame = [Object itself is the top level frame], associated text = [No getText() method found], tooltip text = [No getTooltipText() method found], title = [Cyder Splash]
[22-13-18] [ACTION]: Console loaded in 4136ms
[22-13-18] [SYSTEM_IO]: Userdata requested: windowlocx
[22-13-18] [SYSTEM_IO]: Userdata requested: windowlocy
[22-13-18] [SYSTEM_IO]: Userdata requested: DebugWindows
[22-13-18] [ENTRY]: [TESTING MODE]
[22-13-18] [SYSTEM_IO]: Userdata requested: laststart
[22-13-18] [SYSTEM_IO]: Userdata requested: IntroMusic
[22-13-18] [ACTION]: [Stellar Cyder [Nathan]] [NOTIFICATION] Console loaded in 4136ms
[22-13-18] [SYSTEM_IO]: Userdata requested: persistentnotifications
[22-13-20] [CONSOLE_OUT]: [STRING] CyderStrings:     //instantiation of a static class message
[22-13-20] [CONSOLE_OUT]: [STRING] GenesisShare:             //sign out user if ConsoleFrame has a user associated with it
[22-13-20] [CONSOLE_OUT]: [STRING] AudioPlayer: //todo icon button where you pass it an icon and one for hover and a lambda for hovering
[22-13-20] [CONSOLE_OUT]: [STRING] AudioPlayer:      * Pass {@code null} to avoid starting audio upon launch.
[22-13-20] [CONSOLE_OUT]: [STRING] AudioPlayer:      * Returns the associated JLayer player
[22-13-20] [CONSOLE_OUT]: [STRING] AudioPlayer:      * When starting pass the file that the user selected using the select audio directory button.
[22-13-20] [CONSOLE_OUT]: [STRING] AudioPlayer:      * On refresh, you may pass null and the program will infer where to look based on the current audioFile dir.
[22-13-20] [CONSOLE_OUT]: [STRING] AudioPlayer:             //close the player and associated buffers/streams
[22-13-20] [CONSOLE_OUT]: [STRING] AudioPlayer:      * private inner class for the audio location slider
[22-13-20] [CONSOLE_OUT]: [STRING] AudioPlayer:      * private inner class for the scrolling song label
[22-13-20] [CONSOLE_OUT]: [STRING] InputHandler:     // allowing for semaphore usage
[22-13-20] [CONSOLE_OUT]: [STRING] LoginHandler:      * @param hashedPass the password already having been hashed (we hash it again in checkPassword method)
[22-13-20] [CONSOLE_OUT]: [STRING] LoginHandler:      * @return whether or not the name and pass combo was authenticated and logged in
[22-13-20] [CONSOLE_OUT]: [STRING] SessionHandler:     //absolute start of Cyder, class loading
[22-13-20] [CONSOLE_OUT]: [STRING] SessionHandler:      * The main log method to log an action associated with a type tag.
[22-13-20] [CONSOLE_OUT]: [STRING] SessionHandler:      * @return the log file associated with the current session
[22-13-20] [CONSOLE_OUT]: [STRING] CyderGridLayout:     //class so we know the original size of components for resize events
[22-13-20] [CONSOLE_OUT]: [STRING] CyderLayout:  * which also forces the class to implement this interface
[22-13-20] [CONSOLE_OUT]: [STRING] ClientBackend:      * @param messagingWidgetFrame the CyderFrame this Client should be associated with to be used for the confirmation window
[22-13-20] [CONSOLE_OUT]: [STRING] ClientBackend:                             //listen for their messages assumping their server still wants to connect
[22-13-20] [CONSOLE_OUT]: [STRING] ClientView:     //this class is not static due to being able to DM multiple users at once in different frames
[22-13-20] [CONSOLE_OUT]: [STRING] CyderStack:     //node class to be used
[22-13-20] [CONSOLE_OUT]: [STRING] BletchyThread:      * Class instantiation requires a JTextPane so that we may use a StringUtil to append to the profvided JTextPane
[22-13-20] [CONSOLE_OUT]: [STRING] MasterYoutubeThread:     //this class still exists in the event we want to allow multithreading once again with random youtube
[22-13-20] [CONSOLE_OUT]: [STRING] MasterYoutubeThread:     //should be associated with an input handler
