[17-52-14] [ENTRY]: [Nathan]
[17-52-14] [SYSTEM_IO]: System data pared in IOUtil's static block
[17-52-14] [SYSTEM_IO]: Suggestions pared in IOUtil's static block
[17-52-16] [LOGIN]: [AUTOCYPHER ATTEMPT]
[17-52-16] [JAVA ARGS]: [LOCATION] [La casa de Nathan]
[17-52-16] [LOGIN]: [AUTOCYPHER PASS, e5a50641-21d1-3654-b738-c0e4b2dc61b1]
[17-52-16] [SYSTEM_IO]: Userdata requested: Name
[17-52-16] [SYSTEM_IO]: Userdata requested: RandomBackground
[17-52-16] [SYSTEM_IO]: Userdata requested: FullScreen
[17-52-16] [SYSTEM_IO]: Userdata requested: Name
[17-52-16] [SYSTEM_IO]: Userdata requested: Foreground
[17-52-16] [SYSTEM_IO]: Userdata requested: Foreground
[17-52-16] [SYSTEM_IO]: Userdata requested: FullScreen
[17-52-16] [SYSTEM_IO]: Userdata requested: FullScreen
[17-52-16] [SYSTEM_IO]: Userdata requested: Foreground
[17-52-16] [SYSTEM_IO]: Userdata requested: Font
[17-52-17] [SYSTEM_IO]: Userdata requested: OutputBorder
[17-52-17] [SYSTEM_IO]: Userdata requested: FullScreen
[17-52-17] [SYSTEM_IO]: Userdata requested: InputBorder
[17-52-17] [SYSTEM_IO]: Userdata requested: Foreground
[17-52-17] [SYSTEM_IO]: Userdata requested: Foreground
[17-52-17] [SYSTEM_IO]: Userdata requested: Foreground
[17-52-17] [SYSTEM_IO]: Userdata requested: Font
[17-52-17] [SYSTEM_IO]: Userdata requested: OutputFill
[17-52-17] [SYSTEM_IO]: Userdata requested: InputFill
[17-52-41] [ACTION]: CyderFrame disposed with fastclose: true, CyderFrame: Component name = [cyder.ui.CyderFrame], bounds = [(980, 396, 600, 600)], hash = [529628933], parentFrame = [Object itself is the top level frame], associated text = [No getText() method found], tooltip text = [No getTooltipText() method found], title = [Cyder Splash]
[EXTERNAL STOP] Cyder was force closed by an external entity such as an IDE stop or the OS' Task Manager
