[16-50-57] [ENTRY]: [Nathan]
[16-50-57] [SYSTEM_IO]: System data pared in IOUtil's static block
[16-50-57] [SYSTEM_IO]: Suggestions pared in IOUtil's static block
[16-50-57] [SYSTEM_IO]: Exit conditions pared in IOUtil's static block
[16-50-57] [SYSTEM_IO]: DebugHashes pared in IOUtil's static block
[16-50-58] [ACTION]: User e5a50641-21d1-3654-b738-c0e4b2dc61b1 was found to have an outdated userdata.json; preference injection was attempted on the following: [compacttextmode=0]
[16-50-59] [LOGIN]: [AUTOCYPHER ATTEMPT]
[16-50-59] [JAVA ARGS]: [LOCATION] [La casa de Nathan]
[16-50-59] [LOGIN]: [AUTOCYPHER PASS, e5a50641-21d1-3654-b738-c0e4b2dc61b1]
[16-51-00] [SYSTEM_IO]: Userdata requested: Name
[16-51-00] [SYSTEM_IO]: Userdata requested: RandomBackground
[16-51-00] [SYSTEM_IO]: Userdata requested: FullScreen
[16-51-00] [SYSTEM_IO]: Userdata requested: Name
[16-51-00] [SYSTEM_IO]: Userdata requested: Foreground
[16-51-00] [SYSTEM_IO]: Userdata requested: Foreground
[16-51-00] [SYSTEM_IO]: Userdata requested: FullScreen
[16-51-00] [SYSTEM_IO]: Userdata requested: FullScreen
[16-51-00] [SYSTEM_IO]: Userdata requested: Foreground
[16-51-00] [SYSTEM_IO]: Userdata requested: Font
[16-51-00] [SYSTEM_IO]: Userdata requested: OutputBorder
[16-51-00] [SYSTEM_IO]: Userdata requested: FullScreen
[16-51-00] [SYSTEM_IO]: Userdata requested: InputBorder
[16-51-00] [SYSTEM_IO]: Userdata requested: Foreground
[16-51-00] [SYSTEM_IO]: Userdata requested: Foreground
[16-51-00] [SYSTEM_IO]: Userdata requested: Foreground
[16-51-00] [SYSTEM_IO]: Userdata requested: Font
[16-51-00] [SYSTEM_IO]: Userdata requested: OutputFill
[16-51-00] [SYSTEM_IO]: Userdata requested: InputFill
[16-51-00] [ACTION]: CyderFrame disposed with fastclose: true, CyderFrame: Component name = [cyder.ui.CyderFrame], bounds = [(980, 396, 600, 600)], hash = [1495004693], parentFrame = [Object itself is the top level frame], associated text = [No getText() method found], tooltip text = [No getTooltipText() method found], title = [Cyder Splash]
[16-51-00] [ACTION]: Console loaded in 3805ms
[16-51-00] [SYSTEM_IO]: Userdata requested: DebugWindows
[16-51-00] [ENTRY]: [TESTING MODE]
[16-51-00] [SYSTEM_IO]: Userdata requested: laststart
[16-51-00] [SYSTEM_IO]: Userdata requested: IntroMusic
[16-51-00] [ACTION]: [Stellar Cyder [Nathan]] [NOTIFICATION] Console loaded in 3805ms
[16-51-01] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-03] [WIDGET OPENED]: PREFS
[16-51-07] [ACTION]: Component name = [cyder.ui.DragLabel], bounds = [(2, 2, 796, 28)], hash = [681775976], parentFrame = [Bart], associated text = [No getText() method found], tooltip text = [No getTooltipText() method found], title = [No getTitle() method found]
[16-51-07] [ACTION]: CyderFrame disposed with fastclose: false, CyderFrame: Component name = [cyder.ui.CyderFrame], bounds = [(372, 410, 800, 762)], hash = [1641257249], parentFrame = [Object itself is the top level frame], associated text = [No getText() method found], tooltip text = [No getTooltipText() method found], title = [Bart]
[16-51-07] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-09] [SYSTEM_IO]: Userdata requested: Foreground
[16-51-09] [SYSTEM_IO]: Userdata requested: Foreground
[16-51-09] [SYSTEM_IO]: Userdata requested: Background
[16-51-09] [SYSTEM_IO]: Userdata requested: Background
[16-51-09] [SYSTEM_IO]: Userdata requested: Font
[16-51-09] [ACTION]: Component name = [cyder.ui.CyderButton], bounds = [(830, 175, 50, 250)], hash = [1927692091], parentFrame = [Edit User], associated text = [>], tooltip text = [No getTooltipText() method found], title = [No getTitle() method found]
[16-51-09] [ACTION]: [Edit User] [NOTIFICATION] Loading fonts...
[16-51-09] [ACTION]: [Edit User] [NOTIFICATION] Fonts loaded
[16-51-09] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-10] [ACTION]: Component name = [cyder.ui.CyderButton], bounds = [(830, 175, 50, 250)], hash = [1927692091], parentFrame = [Edit User], associated text = [>], tooltip text = [No getTooltipText() method found], title = [No getTitle() method found]
[16-51-10] [SYSTEM_IO]: Userdata requested: randombackground
[16-51-10] [SYSTEM_IO]: Userdata requested: debugwindows
[16-51-10] [SYSTEM_IO]: Userdata requested: intromusic
[16-51-10] [SYSTEM_IO]: Userdata requested: randombackground
[16-51-10] [SYSTEM_IO]: Userdata requested: debugwindows
[16-51-10] [SYSTEM_IO]: Userdata requested: intromusic
[16-51-10] [SYSTEM_IO]: Userdata requested: debugwindows
[16-51-10] [SYSTEM_IO]: Userdata requested: intromusic
[16-51-10] [SYSTEM_IO]: Userdata requested: debugwindows
[16-51-10] [SYSTEM_IO]: Userdata requested: intromusic
[16-51-10] [SYSTEM_IO]: Userdata requested: debugwindows
[16-51-10] [SYSTEM_IO]: Userdata requested: intromusic
[16-51-10] [SYSTEM_IO]: Userdata requested: debugwindows
[16-51-10] [SYSTEM_IO]: Userdata requested: intromusic
[16-51-10] [SYSTEM_IO]: Userdata requested: debugwindows
[16-51-10] [SYSTEM_IO]: Userdata requested: intromusic
[16-51-10] [SYSTEM_IO]: Userdata requested: debugwindows
[16-51-10] [SYSTEM_IO]: Userdata requested: intromusic
[16-51-10] [SYSTEM_IO]: Userdata requested: debugwindows
[16-51-10] [SYSTEM_IO]: Userdata requested: intromusic
[16-51-10] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-10] [SYSTEM_IO]: Userdata requested: debugwindows
[16-51-10] [SYSTEM_IO]: Userdata requested: intromusic
[16-51-12] [SYSTEM_IO]: Userdata requested: debugwindows
[16-51-12] [SYSTEM_IO]: Userdata requested: intromusic
[16-51-12] [SYSTEM_IO]: Userdata requested: debugwindows
[16-51-12] [SYSTEM_IO]: Userdata requested: intromusic
[16-51-12] [SYSTEM_IO]: Userdata requested: debugwindows
[16-51-12] [SYSTEM_IO]: Userdata requested: intromusic
[16-51-12] [SYSTEM_IO]: Userdata requested: debugwindows
[16-51-12] [SYSTEM_IO]: Userdata requested: intromusic
[16-51-12] [SYSTEM_IO]: Userdata requested: debugwindows
[16-51-12] [SYSTEM_IO]: Userdata requested: intromusic
[16-51-12] [SYSTEM_IO]: Userdata requested: debugwindows
[16-51-12] [SYSTEM_IO]: Userdata requested: intromusic
[16-51-12] [SYSTEM_IO]: Userdata requested: randombackground
[16-51-12] [SYSTEM_IO]: Userdata requested: debugwindows
[16-51-12] [SYSTEM_IO]: Userdata requested: intromusic
[16-51-12] [SYSTEM_IO]: Userdata requested: debugwindows
[16-51-12] [SYSTEM_IO]: Userdata requested: intromusic
[16-51-12] [SYSTEM_IO]: Userdata requested: debugwindows
[16-51-12] [SYSTEM_IO]: Userdata requested: intromusic
[16-51-12] [SYSTEM_IO]: Userdata requested: debugwindows
[16-51-12] [SYSTEM_IO]: Userdata requested: intromusic
[16-51-12] [SYSTEM_IO]: Userdata requested: debugwindows
[16-51-12] [SYSTEM_IO]: Userdata requested: intromusic
[16-51-12] [SYSTEM_IO]: Userdata requested: debugwindows
[16-51-12] [SYSTEM_IO]: Userdata requested: intromusic
[16-51-12] [SYSTEM_IO]: Userdata requested: randombackground
[16-51-12] [SYSTEM_IO]: Userdata requested: debugwindows
[16-51-12] [SYSTEM_IO]: Userdata requested: intromusic
[16-51-12] [SYSTEM_IO]: Userdata requested: randombackground
[16-51-12] [SYSTEM_IO]: Userdata requested: debugwindows
[16-51-12] [SYSTEM_IO]: Userdata requested: intromusic
[16-51-12] [SYSTEM_IO]: Userdata requested: randombackground
[16-51-12] [SYSTEM_IO]: Userdata requested: debugwindows
[16-51-12] [SYSTEM_IO]: Userdata requested: intromusic
[16-51-12] [SYSTEM_IO]: Userdata requested: randombackground
[16-51-12] [SYSTEM_IO]: Userdata requested: debugwindows
[16-51-12] [SYSTEM_IO]: Userdata requested: intromusic
[16-51-12] [SYSTEM_IO]: Userdata requested: outputborder
[16-51-12] [SYSTEM_IO]: Userdata requested: randombackground
[16-51-12] [SYSTEM_IO]: Userdata requested: debugwindows
[16-51-12] [SYSTEM_IO]: Userdata requested: intromusic
[16-51-12] [SYSTEM_IO]: Userdata requested: outputborder
[16-51-12] [SYSTEM_IO]: Userdata requested: randombackground
[16-51-12] [SYSTEM_IO]: Userdata requested: debugwindows
[16-51-12] [SYSTEM_IO]: Userdata requested: outputborder
[16-51-12] [SYSTEM_IO]: Userdata requested: randombackground
[16-51-12] [SYSTEM_IO]: Userdata requested: debugwindows
[16-51-12] [SYSTEM_IO]: Userdata requested: inputborder
[16-51-12] [SYSTEM_IO]: Userdata requested: outputborder
[16-51-12] [SYSTEM_IO]: Userdata requested: randombackground
[16-51-12] [SYSTEM_IO]: Userdata requested: debugwindows
[16-51-12] [SYSTEM_IO]: Userdata requested: inputborder
[16-51-12] [SYSTEM_IO]: Userdata requested: outputborder
[16-51-12] [SYSTEM_IO]: Userdata requested: randombackground
[16-51-12] [SYSTEM_IO]: Userdata requested: inputborder
[16-51-12] [SYSTEM_IO]: Userdata requested: outputborder
[16-51-12] [SYSTEM_IO]: Userdata requested: randombackground
[16-51-12] [SYSTEM_IO]: Userdata requested: hourlychimes
[16-51-12] [SYSTEM_IO]: Userdata requested: inputborder
[16-51-12] [SYSTEM_IO]: Userdata requested: outputborder
[16-51-12] [SYSTEM_IO]: Userdata requested: silenceerrors
[16-51-12] [SYSTEM_IO]: Userdata requested: hourlychimes
[16-51-12] [SYSTEM_IO]: Userdata requested: inputborder
[16-51-12] [SYSTEM_IO]: Userdata requested: outputborder
[16-51-12] [SYSTEM_IO]: Userdata requested: silenceerrors
[16-51-12] [SYSTEM_IO]: Userdata requested: hourlychimes
[16-51-12] [SYSTEM_IO]: Userdata requested: inputborder
[16-51-12] [SYSTEM_IO]: Userdata requested: silenceerrors
[16-51-12] [SYSTEM_IO]: Userdata requested: hourlychimes
[16-51-12] [SYSTEM_IO]: Userdata requested: inputborder
[16-51-12] [SYSTEM_IO]: Userdata requested: fullscreen
[16-51-12] [SYSTEM_IO]: Userdata requested: silenceerrors
[16-51-12] [SYSTEM_IO]: Userdata requested: hourlychimes
[16-51-12] [SYSTEM_IO]: Userdata requested: inputborder
[16-51-12] [SYSTEM_IO]: Userdata requested: fullscreen
[16-51-12] [SYSTEM_IO]: Userdata requested: silenceerrors
[16-51-12] [SYSTEM_IO]: Userdata requested: hourlychimes
[16-51-12] [SYSTEM_IO]: Userdata requested: silenceerrors
[16-51-12] [SYSTEM_IO]: Userdata requested: hourlychimes
[16-51-12] [SYSTEM_IO]: Userdata requested: outputfill
[16-51-12] [SYSTEM_IO]: Userdata requested: fullscreen
[16-51-12] [SYSTEM_IO]: Userdata requested: silenceerrors
[16-51-12] [SYSTEM_IO]: Userdata requested: hourlychimes
[16-51-12] [SYSTEM_IO]: Userdata requested: outputfill
[16-51-12] [SYSTEM_IO]: Userdata requested: fullscreen
[16-51-12] [SYSTEM_IO]: Userdata requested: silenceerrors
[16-51-12] [SYSTEM_IO]: Userdata requested: hourlychimes
[16-51-12] [SYSTEM_IO]: Userdata requested: outputfill
[16-51-12] [SYSTEM_IO]: Userdata requested: fullscreen
[16-51-12] [SYSTEM_IO]: Userdata requested: silenceerrors
[16-51-12] [SYSTEM_IO]: Userdata requested: outputfill
[16-51-12] [SYSTEM_IO]: Userdata requested: fullscreen
[16-51-12] [SYSTEM_IO]: Userdata requested: silenceerrors
[16-51-12] [SYSTEM_IO]: Userdata requested: outputfill
[16-51-12] [SYSTEM_IO]: Userdata requested: fullscreen
[16-51-12] [SYSTEM_IO]: Userdata requested: silenceerrors
[16-51-13] [SYSTEM_IO]: Userdata requested: outputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: fullscreen
[16-51-13] [SYSTEM_IO]: Userdata requested: silenceerrors
[16-51-13] [SYSTEM_IO]: Userdata requested: inputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: outputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: fullscreen
[16-51-13] [SYSTEM_IO]: Userdata requested: silenceerrors
[16-51-13] [SYSTEM_IO]: Userdata requested: inputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: outputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: fullscreen
[16-51-13] [SYSTEM_IO]: Userdata requested: silenceerrors
[16-51-13] [SYSTEM_IO]: Userdata requested: inputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: outputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: fullscreen
[16-51-13] [SYSTEM_IO]: Userdata requested: silenceerrors
[16-51-13] [SYSTEM_IO]: Userdata requested: inputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: outputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: fullscreen
[16-51-13] [SYSTEM_IO]: Userdata requested: inputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: outputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: fullscreen
[16-51-13] [SYSTEM_IO]: Userdata requested: inputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: outputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: fullscreen
[16-51-13] [SYSTEM_IO]: Userdata requested: inputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: outputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: fullscreen
[16-51-13] [SYSTEM_IO]: Userdata requested: clockonconsole
[16-51-13] [SYSTEM_IO]: Userdata requested: inputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: outputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: fullscreen
[16-51-13] [SYSTEM_IO]: Userdata requested: clockonconsole
[16-51-13] [SYSTEM_IO]: Userdata requested: inputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: outputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: clockonconsole
[16-51-13] [SYSTEM_IO]: Userdata requested: inputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: outputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: clockonconsole
[16-51-13] [SYSTEM_IO]: Userdata requested: inputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: outputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: clockonconsole
[16-51-13] [SYSTEM_IO]: Userdata requested: inputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: outputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: clockonconsole
[16-51-13] [SYSTEM_IO]: Userdata requested: inputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: outputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: clockonconsole
[16-51-13] [SYSTEM_IO]: Userdata requested: inputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: outputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: clockonconsole
[16-51-13] [SYSTEM_IO]: Userdata requested: inputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: clockonconsole
[16-51-13] [SYSTEM_IO]: Userdata requested: inputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: clockonconsole
[16-51-13] [SYSTEM_IO]: Userdata requested: inputfill
