[16-52-11] [ENTRY]: [Nathan]
[16-52-11] [SYSTEM_IO]: System data pared in IOUtil's static block
[16-52-11] [SYSTEM_IO]: Suggestions pared in IOUtil's static block
[16-52-11] [SYSTEM_IO]: Exit conditions pared in IOUtil's static block
[16-52-11] [SYSTEM_IO]: DebugHashes pared in IOUtil's static block
[16-52-13] [LOGIN]: [AUTOCYPHER ATTEMPT]
[16-52-13] [JAVA ARGS]: [LOCATION] [La casa de Nathan]
[16-52-13] [LOGIN]: [AUTOCYPHER PASS, e5a50641-21d1-3654-b738-c0e4b2dc61b1]
[16-52-13] [SYSTEM_IO]: Userdata requested: Name
[16-52-13] [SYSTEM_IO]: Userdata requested: RandomBackground
[16-52-13] [SYSTEM_IO]: Userdata requested: FullScreen
[16-52-14] [SYSTEM_IO]: Userdata requested: Name
[16-52-14] [SYSTEM_IO]: Userdata requested: Foreground
[16-52-14] [SYSTEM_IO]: Userdata requested: Foreground
[16-52-14] [SYSTEM_IO]: Userdata requested: FullScreen
[16-52-14] [SYSTEM_IO]: Userdata requested: FullScreen
[16-52-14] [SYSTEM_IO]: Userdata requested: Foreground
[16-52-14] [SYSTEM_IO]: Userdata requested: Font
[16-52-14] [SYSTEM_IO]: Userdata requested: OutputBorder
[16-52-14] [SYSTEM_IO]: Userdata requested: FullScreen
[16-52-14] [SYSTEM_IO]: Userdata requested: InputBorder
[16-52-14] [SYSTEM_IO]: Userdata requested: Foreground
[16-52-14] [SYSTEM_IO]: Userdata requested: Foreground
[16-52-14] [SYSTEM_IO]: Userdata requested: Foreground
[16-52-14] [SYSTEM_IO]: Userdata requested: Font
[16-52-14] [SYSTEM_IO]: Userdata requested: OutputFill
[16-52-14] [SYSTEM_IO]: Userdata requested: InputFill
[16-52-14] [ACTION]: CyderFrame disposed with fastclose: true, CyderFrame: Component name = [cyder.ui.CyderFrame], bounds = [(980, 396, 600, 600)], hash = [600180329], parentFrame = [Object itself is the top level frame], associated text = [No getText() method found], tooltip text = [No getTooltipText() method found], title = [Cyder Splash]
[16-52-14] [ACTION]: Console loaded in 3358ms
[16-52-14] [SYSTEM_IO]: Userdata requested: DebugWindows
[16-52-14] [ENTRY]: [TESTING MODE]
[16-52-14] [SYSTEM_IO]: Userdata requested: laststart
[16-52-14] [SYSTEM_IO]: Userdata requested: IntroMusic
[16-52-14] [ACTION]: [Stellar Cyder [Nathan]] [NOTIFICATION] Console loaded in 3358ms
[16-52-14] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-52-17] [CLIENT]: prefs
[16-52-17] [SYSTEM_IO]: Userdata requested: filterchat
[16-52-17] [WIDGET OPENED]: PREFS
