[18-38-27] [ENTRY]: [Nathan]
[18-38-27] [SYSTEM_IO]: System data pared in IOUtil's static block
[18-38-27] [SYSTEM_IO]: Suggestions pared in IOUtil's static block
[18-38-27] [SYSTEM_IO]: Exit conditions pared in IOUtil's static block
[18-38-27] [SYSTEM_IO]: DebugHashes pared in IOUtil's static block
[18-38-29] [LOGIN]: [AUTOCYPHER ATTEMPT]
[18-38-29] [JAVA ARGS]: [LOCATION] [La casa de Nathan]
[18-38-30] [LOGIN]: [[AUTOCYPHER PASS]: e5a50641-21d1-3654-b738-c0e4b2dc61b1]
[18-38-30] [SYSTEM_IO]: Userdata requested: RandomBackground
[18-38-30] [SYSTEM_IO]: Userdata requested: FullScreen [3x]
[18-38-30] [SYSTEM_IO]: Userdata requested: OutputBorder
[18-38-30] [SYSTEM_IO]: Userdata requested: FullScreen
[18-38-30] [SYSTEM_IO]: Userdata requested: InputBorder
[18-38-30] [SYSTEM_IO]: Userdata requested: OutputFill
[18-38-30] [SYSTEM_IO]: Userdata requested: InputFill
[18-38-30] [ACTION]: CyderFrame disposed with fastclose: true, CyderFrame: Component name = [cyder.ui.CyderFrame], bounds = [(980, 396, 600, 600)], hash = [1869983694], parentFrame = [Object itself is the top level frame], associated text = [No getText() method found], tooltip text = [No getTooltipText() method found], title = [Cyder Splash]
[18-38-31] [ACTION]: Console loaded in 3890ms
[18-38-31] [SYSTEM_IO]: Userdata requested: DebugWindows
[18-38-31] [ENTRY]: [TESTING MODE]
[18-38-31] [SYSTEM_IO]: Userdata requested: laststart
[18-38-31] [ACTION]: [Stellar Cyder [Nathan]] [NOTIFICATION] Console loaded in 3890ms
[18-38-31] [SYSTEM_IO]: Userdata requested: persistentnotifications
[18-38-33] [CLIENT]: prefs
[18-38-33] [SYSTEM_IO]: Userdata requested: filterchat
[18-38-33] [WIDGET OPENED]: PREFS
[18-38-33] [CONSOLE_OUT]: [STRING] Opening widget: cyder.user.UserEditor
[18-38-33] [HANDLE]: PRIMARY HANDLE
[18-38-34] [SYSTEM_IO]: Userdata requested: Foreground [2x]
[18-38-34] [SYSTEM_IO]: Userdata requested: Background [2x]
[18-38-34] [ACTION]: Component name = [cyder.ui.CyderButton], bounds = [(830, 175, 50, 250)], hash = [1571646623], parentFrame = [Preferences], associated text = [>], tooltip text = [No getTooltipText() method found], title = [No getTitle() method found]
[18-38-34] [ACTION]: [Preferences] [NOTIFICATION] Loading fonts...
[18-38-34] [SYSTEM_IO]: Userdata requested: persistentnotifications
[18-38-35] [ACTION]: Component name = [cyder.ui.CyderButton], bounds = [(830, 175, 50, 250)], hash = [1571646623], parentFrame = [Preferences], associated text = [>], tooltip text = [No getTooltipText() method found], title = [No getTitle() method found]
[18-38-35] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-35] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-35] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-35] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-35] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-35] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-37] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-37] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-37] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-37] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-37] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-37] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-37] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-37] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-37] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-37] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-37] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-37] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-37] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-37] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-37] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-37] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-37] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-37] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-37] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-37] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-37] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-37] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-37] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-37] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-37] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-37] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-37] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-37] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-37] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-37] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-37] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-37] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-37] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-37] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-37] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-37] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-37] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-37] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-37] [SYSTEM_IO]: Userdata requested: intromusic
