[16-06-05] [JVM_ENTRY]: [Nathan]
[16-06-05] [THREAD STARTED]: Object Creation Logger
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\18-56-24-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\18-56-24-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\19-04-13-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\19-04-13-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\19-07-26-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\19-07-26-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\19-07-43-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\19-07-43-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\19-10-58-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\19-10-58-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\19-12-59-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\19-12-59-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\19-13-21-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\19-13-21-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\19-20-30-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\19-20-30-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\19-23-07-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\19-23-07-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\19-28-24-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\19-28-24-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\19-33-25-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\19-33-25-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\19-45-39-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\19-45-39-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\19-46-31-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\19-46-31-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\19-47-28-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\19-47-28-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\20-30-44-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\20-30-44-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\20-33-32-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\20-33-32-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\20-34-02-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\20-34-02-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\20-39-44-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\20-39-44-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\20-41-30-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\20-41-30-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\20-42-37-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\20-42-37-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\20-44-22-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\20-44-22-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\20-46-00-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\20-46-00-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\20-48-25-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\20-48-25-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\20-49-24-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\20-49-24-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\20-55-36-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\20-55-36-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\20-56-52-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\20-56-52-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-01-07-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-01-07-1.log
